700 1815
213 29 478
267 29 260
398 29 496
126 29 680
186 29 757
282 29 718
311 29 738
470 29 789
183 91 519
26 91 711
72 91 586
324 91 690
562 91 542
362 91 671
29 91 154
473 91 121
119 91 304
373 91 271
215 91 366
90 91 152
437 91 186
56 91 215
270 91 261
436 91 294
467 91 268
213 91 424
267 91 176
398 91 433
602 91 512
680 91 411
126 91 767
186 91 738
282 91 651
311 91 709
470 91 771
183 473 556
26 473 711
72 473 586
324 473 690
562 473 542
362 473 671
29 473 276
91 473 121
119 473 407
90 473 30
437 473 172
56 473 203
270 473 202
436 473 259
467 473 274
213 473 414
267 473 183
398 473 413
602 473 483
680 473 362
126 473 767
186 473 738
282 473 651
311 473 709
470 473 771
183 119 362
26 119 426
72 119 282
324 119 394
381 119 388
393 119 334
662 119 415
562 119 239
168 119 273
415 119 276
526 119 151
456 119 263
596 119 246
362 119 461
384 119 314
29 119 195
91 119 304
373 119 156
215 119 77
429 119 137
90 119 435
437 119 326
56 119 328
270 119 419
436 119 398
467 119 310
213 119 410
267 119 296
398 119 441
602 119 518
680 119 500
126 119 485
122 119 552
186 119 637
282 119 636
311 119 623
470 119 668
183 373 516
26 373 563
72 373 389
324 373 439
381 373 465
393 373 329
662 373 487
562 373 363
168 373 409
415 373 359
526 373 282
456 373 282
596 373 380
362 373 402
384 373 293
29 373 117
91 373 271
119 373 156
215 373 156
429 373 189
90 373 423
437 373 376
56 373 388
213 373 531
267 373 348
398 373 556
126 373 485
122 373 552
186 373 637
282 373 636
311 373 623
470 373 668
183 215 407
26 215 410
72 215 236
324 215 325
492 215 325
381 215 329
393 215 257
662 215 355
562 215 207
168 215 257
415 215 217
526 215 129
456 215 213
596 215 227
362 215 386
384 215 238
29 215 236
91 215 366
119 215 77
373 215 156
429 215 61
90 215 504
437 215 402
56 215 404
213 215 479
267 215 372
398 215 511
126 215 470
122 215 522
186 215 686
282 215 703
311 215 682
470 215 715
183 429 441
26 429 401
72 429 204
324 429 267
492 429 283
381 429 279
393 429 196
662 429 302
562 429 188
168 429 251
415 429 170
526 429 131
456 429 176
596 429 220
362 429 330
384 429 180
29 429 285
91 429 423
119 429 137
373 429 189
215 429 61
90 429 564
437 429 463
56 429 465
213 429 530
267 429 433
398 429 563
126 429 461
122 429 497
186 429 686
282 429 703
311 429 682
470 429 715
183 90 570
26 90 819
72 90 715
324 90 828
562 90 666
362 90 823
29 90 306
91 90 152
119 90 435
437 90 183
56 90 213
270 90 198
436 90 259
467 90 285
213 90 418
267 90 198
398 90 415
602 90 482
680 90 356
126 90 874
186 90 735
282 90 614
311 90 701
470 90 766
183 437 386
26 437 661
72 437 587
324 437 720
562 437 535
362 437 769
29 437 284
91 437 186
119 437 326
90 437 183
56 437 31
270 437 95
436 437 108
459 437 162
535 437 67
467 437 101
213 437 245
267 437 30
398 437 249
640 437 249
602 437 326
680 437 226
126 437 701
186 437 563
282 437 464
311 437 531
470 437 595
183 56 358
26 56 638
72 56 581
324 56 719
562 56 527
362 56 776
29 56 302
91 56 215
119 56 328
90 56 213
437 56 31
270 56 92
436 56 84
459 56 135
535 56 61
467 56 72
213 56 214
267 56 42
398 56 219
640 56 280
602 56 297
680 56 203
126 56 677
186 56 532
282 56 435
311 56 500
470 56 563
183 270 413
26 270 638
72 270 581
324 270 719
562 270 527
362 270 776
29 270 377
91 270 261
119 270 419
90 270 198
437 270 95
56 270 92
436 270 69
459 270 125
535 270 30
467 270 142
213 270 231
267 270 125
398 270 222
640 270 222
602 270 284
680 270 159
126 270 677
186 270 542
282 270 416
311 270 506
470 270 563
183 436 346
26 436 638
72 436 581
324 436 719
562 436 527
362 436 776
29 436 387
91 436 294
119 436 398
90 436 259
437 436 108
56 436 84
270 436 69
459 436 60
535 436 61
467 436 94
213 436 162
267 436 127
398 436 155
640 436 231
602 436 224
680 436 118
126 436 677
186 436 476
282 436 361
311 436 441
470 436 507
183 459 346
26 459 638
72 459 581
324 459 719
562 459 527
362 459 776
29 459 387
91 459 294
119 459 398
90 459 259
437 459 162
56 459 135
270 459 125
436 459 60
535 459 121
467 459 112
213 459 108
267 459 176
398 459 96
640 459 176
602 459 165
680 459 79
126 459 677
186 459 476
282 459 361
311 459 441
470 459 507
183 535 346
26 535 638
72 535 581
324 535 719
562 535 527
362 535 776
29 535 387
91 535 243
119 535 398
90 535 198
437 535 67
56 535 61
270 535 30
436 535 61
459 535 121
467 535 115
213 535 221
267 535 95
398 535 216
640 535 155
602 535 285
680 535 169
126 535 677
186 535 476
282 535 361
311 535 441
470 535 507
183 467 286
26 467 568
72 467 540
324 467 719
562 467 484
362 467 776
29 467 326
91 467 268
119 467 310
90 467 285
437 467 101
56 467 72
270 467 142
436 467 94
459 467 112
535 467 115
213 467 158
267 467 94
398 467 171
640 467 219
602 467 255
680 467 190
126 467 677
186 467 470
282 467 393
311 467 441
470 467 503
183 213 211
26 213 531
72 213 569
324 213 747
562 213 509
362 213 860
29 213 478
91 213 424
119 213 410
90 213 418
437 213 245
56 213 214
270 213 231
436 213 162
459 213 108
535 213 221
467 213 158
267 213 248
398 213 34
640 213 68
602 213 110
680 213 141
126 213 558
122 213 704
186 213 317
282 213 241
311 213 286
470 213 349
183 267 373
26 267 641
72 267 557
324 267 690
562 267 505
362 267 739
29 267 260
91 267 176
119 267 296
373 267 348
215 267 372
90 267 198
437 267 30
56 267 42
270 267 125
436 267 127
459 267 176
535 267 95
467 267 94
213 267 248
398 267 256
640 267 256
602 267 336
680 267 245
126 267 682
186 267 564
282 267 475
311 267 534
470 267 596
183 398 242
26 398 564
72 398 604
324 398 782
562 398 544
362 398 893
29 398 496
91 398 433
119 398 441
90 398 415
437 398 249
56 398 219
270 398 222
436 398 155
459 398 96
535 398 216
467 398 171
213 398 34
267 398 256
640 398 85
602 398 84
680 398 111
126 398 589
122 398 736
186 398 320
282 398 221
311 398 285
470 398 351
183 640 171
26 640 564
72 640 604
324 640 782
562 640 544
362 640 893
29 640 496
91 640 433
119 640 441
90 640 415
437 640 249
56 640 280
270 640 222
436 640 231
459 640 176
535 640 155
467 640 219
213 640 68
267 640 256
398 640 85
602 640 106
680 640 194
126 640 589
122 640 736
186 640 251
282 640 206
311 640 222
470 640 284
183 602 276
26 602 564
72 602 604
324 602 782
562 602 544
362 602 893
29 602 496
91 602 512
119 602 518
90 602 482
437 602 326
56 602 297
270 602 284
436 602 224
459 602 165
535 602 285
467 602 255
213 602 110
267 602 336
398 602 84
640 602 106
680 602 137
126 602 589
122 602 736
186 602 269
282 602 138
311 602 229
470 602 297
183 680 352
26 680 564
72 680 604
324 680 782
562 680 544
362 680 893
29 680 504
91 680 411
119 680 500
90 680 356
437 680 226
56 680 203
270 680 159
436 680 118
459 680 79
535 680 169
467 680 190
213 680 141
267 680 245
398 680 111
640 680 194
602 680 137
126 680 589
122 680 736
186 680 406
282 680 259
311 680 366
470 680 434
183 126 347
26 126 60
72 126 283
324 126 427
381 126 334
393 126 522
662 126 353
562 126 273
168 126 213
415 126 350
526 126 341
456 126 341
596 126 244
362 126 665
29 126 680
91 126 767
119 126 485
90 126 874
223 126 100
269 126 87
122 126 157
611 126 221
621 126 227
229 126 254
186 126 448
282 126 620
311 126 479
470 126 454
183 223 447
26 223 133
72 223 308
324 223 416
381 223 320
393 223 527
662 223 332
562 223 316
168 223 271
415 223 364
526 223 396
456 223 396
596 223 298
362 223 663
29 223 740
91 223 838
119 223 544
90 223 948
126 223 100
269 223 43
122 223 67
611 223 134
621 223 182
229 223 155
186 223 533
282 223 712
311 223 565
470 223 538
183 269 432
26 269 137
72 269 336
324 269 455
381 269 359
393 269 562
662 269 371
562 269 337
168 269 286
415 269 396
526 269 414
456 269 414
596 269 315
362 269 663
29 269 740
91 269 838
119 269 560
90 269 948
126 269 87
223 269 43
122 269 109
611 269 176
621 269 225
229 269 187
186 269 496
282 269 712
311 269 529
470 269 499
183 122 494
26 122 172
72 122 294
324 122 377
492 122 377
381 122 283
393 122 496
662 122 288
562 122 315
168 122 284
415 122 343
526 122 401
456 122 401
596 122 306
362 122 628
29 122 745
91 122 851
119 122 552
90 122 967
126 122 157
223 122 67
269 122 109
611 122 67
621 122 133
229 122 102
186 122 599
282 122 777
311 122 631
470 122 605
183 611 547
26 611 226
72 611 299
324 611 345
492 611 345
381 611 258
393 611 476
662 611 255
562 611 330
168 611 312
415 611 337
526 611 419
456 611 419
596 611 330
362 611 628
29 611 745
91 611 851
119 611 570
90 611 967
126 611 221
223 611 134
269 611 176
122 611 67
621 611 108
229 611 74
186 611 599
282 611 777
311 611 631
470 611 605
183 621 505
26 621 203
72 621 196
324 621 245
492 621 245
381 621 152
393 621 369
662 621 155
562 621 237
168 621 237
415 621 230
526 621 326
456 621 220
596 621 247
362 621 497
384 621 403
29 621 745
91 621 851
119 621 476
90 621 967
126 621 227
223 621 182
122 621 133
611 621 108
229 621 182
186 621 599
282 621 777
311 621 631
470 621 605
183 229 596
26 229 274
72 229 373
324 229 412
381 229 330
393 229 546
662 229 323
562 229 402
168 229 380
415 229 412
526 229 489
456 229 489
596 229 399
362 229 664
29 229 833
90 229 1063
126 229 254
223 229 155
269 229 187
122 229 102
611 229 74
621 229 182
186 229 675
282 229 859
311 229 710
470 229 678
183 186 279
26 186 468
72 186 645
324 186 827
562 186 600
362 186 1028
29 186 757
91 186 738
119 186 637
90 186 735
437 186 563
56 186 532
213 186 317
267 186 564
398 186 320
640 186 251
602 186 269
680 186 406
126 186 448
122 186 599
558 186 132
282 186 199
311 186 42
470 186 32
183 558 225
26 558 337
72 558 526
324 558 827
562 558 487
362 558 1028
29 558 757
91 558 738
119 558 637
90 558 735
437 558 563
56 558 553
213 558 353
267 558 564
398 558 368
602 558 344
680 558 471
126 558 315
223 558 400
122 558 466
186 558 132
282 558 316
311 558 165
470 558 142
183 282 344
26 282 624
72 282 746
324 282 933
562 282 691
362 282 1082
29 282 718
91 282 651
119 282 636
90 282 614
437 282 464
56 282 435
213 282 241
267 282 475
398 282 221
640 282 206
602 282 138
680 282 259
126 282 620
122 282 777
186 282 199
311 282 157
470 282 216
183 311 275
26 311 494
72 311 660
324 311 845
562 311 609
362 311 1034
29 311 738
91 311 709
119 311 623
90 311 701
437 311 531
56 311 500
213 311 286
267 311 534
398 311 285
640 311 222
602 311 229
680 311 366
126 311 479
122 311 631
186 311 42
282 311 157
470 311 67
183 470 309
26 470 479
72 470 664
324 470 844
562 470 620
362 470 1053
29 470 789
90 470 766
56 470 563
213 470 349
267 470 596
398 470 351
602 470 297
680 470 434
126 470 454
122 470 605
186 470 32
282 470 216
311 470 67
